Hour,AVG_base$netload_baseline,AVG_netload_proposed,AVG_ACC_rate,*
6,2.124333333,-31.297,0.052754295,September
7,-3.850666667,-41.83266667,0.051326483,September
8,12.433,-22.56,0.048001068,September
9,13.16366667,-30.367,0.049291788,September
10,23.10666667,-15.611,0.049206253,September
11,68.30833333,55.72566667,0.048439392,September
12,27.90733333,8.184,0.048082662,September
13,43.68266667,31.591,0.046913406,September
14,2.914666667,-49.68066667,0.047539466,September
15,8.946666667,-40.409,0.050096983,September
16,22.12433333,-11.82733333,0.091024782,September
17,35.38,7.067666667,0.112607819,September
18,24.94266667,-2.331333333,3.043552781,September
19,39.49333333,-11.213,3.449133142,September
20,61.509,25.442,0.188804667,September
21,58.32733333,34.361,0.084180035,September
22,44.82,31.03333333,0.074853493,September
23,37.45433333,32.95233333,0.054971152,September
24,26.52466667,18.85333333,0.055714217,September
1,25.66096774,21.82935484,0.050320367,October
2,25.04516129,20.85064516,0.049805294,October
3,21.04903226,18.51193548,0.049605302,October
4,19.64967742,17.92129032,0.049016881,October
5,19.39032258,18.34225806,0.049024473,October
6,10.40677419,-0.021612903,0.050582192,October
7,1.912580645,-51.97032258,0.052996961,October
8,0.633870968,-35.21290323,0.049262883,October
9,18.56870968,-23.50451613,0.048731323,October
10,16.88193548,-20.14419355,0.04866057,October
11,52.78709677,32.31870968,0.049105802,October
12,56.28870968,53.05258065,0.048491846,October
13,42.19193548,38.62612903,0.048363247,October
14,16.16967742,-4.751290323,0.047929222,October
15,9.762580645,-17.60870968,0.082517718,October
16,26.69741935,7.237419355,0.094063673,October
17,28.26516129,12.2416129,0.146945142,October
18,36.74516129,23.40483871,0.417093343,October
19,59.09419355,25.50032258,0.418445159,October
20,60.81032258,31.13580645,0.072782105,October
21,47.15548387,13.88129032,0.059759358,October
22,42.40258065,18.0916129,0.056902492,October
23,40.19612903,28.90645161,0.052830618,October
24,23.38516129,18.78419355,0.054515663,October
1,30.64133333,20.46433333,0.049166926,November
2,29.29933333,21.86133333,0.048558123,November
3,28.17566667,21.41933333,0.048113907,November
4,28.60133333,21.039,0.047571527,November
5,30.49566667,21.588,0.047666282,November
6,33.58366667,20.84066667,0.048421594,November
7,33.97166667,18.28733333,0.050360675,November
8,29.52966667,15.38433333,0.046976038,November
9,33.59233333,-2.227666667,0.046607786,November
10,29.34533333,-10.49766667,0.047120404,November
11,35.58766667,-2.320666667,0.046387789,November
12,29.80366667,-4.006,0.046563143,November
13,30.37866667,-1.263333333,0.046063768,November
14,15.813,-5.527666667,0.047033604,November
15,18.323,-1.439666667,0.049182647,November
16,31.514,17.90766667,0.055380525,November
17,37.70433333,27.669,0.06229803,November
18,46.55633333,28.69466667,0.063724513,November
19,63.89,39.638,0.06273562,November
20,65.75533333,40.94433333,0.061059474,November
21,57.271,28.802,0.059404615,November
22,49.058,33.31766667,0.058473001,November
23,48.05033333,31.33033333,0.052993477,November
24,31.205,24.628,0.05257706,November
1,43.92516129,32.45064516,0.055874117,December
2,40.19064516,27.53903226,0.055759722,December
3,40.4383871,27.50709677,0.055472095,December
4,41.81903226,27.98354839,0.055078037,December
5,43.33258065,28.55193548,0.055396114,December
6,45.98483871,31.26548387,0.056112533,December
7,49.25419355,35.8083871,0.057583532,December
8,42.60806452,17.91806452,0.059335462,December
9,42.68806452,14.70064516,0.059979621,December
10,41.02741935,-0.602258065,0.060976947,December
11,36.7483871,1.657741935,0.059689805,December
12,26.22967742,-1.247741935,0.057857433,December
13,49.94870968,19.44645161,0.057424418,December
14,45.83516129,33.4083871,0.056527787,December
15,29.87129032,19.13129032,0.056564009,December
16,40.46322581,27.20354839,0.058586868,December
17,47.92225806,34.15967742,0.06163366,December
18,54.6616129,34.06290323,0.065427128,December
19,69.19935484,45.20516129,0.065648889,December
20,66.32709677,39.70774194,0.065624719,December
21,67.31612903,40.38741935,0.065025396,December
22,57.51258065,33.43741935,0.061200781,December
23,49.43516129,35.88258065,0.05754093,December
24,42.35322581,33.07516129,0.057681748,December
